#Name #Distance(AU) #Period(years)
Mercurio 0.38709893 0.2408467
Venus 0.72333199 	0.61519726
Tierra 1.00000011 	1.0000174
Marte 1.52366231 1.8808476
Jupiter 5.20336301 11.862615
Saturno 9.53707032 29.447498
Urano 19.19126393 84.016846
Neptuno 30.06896348 164.79132
#Dwarf planets
Ceres 2.766 4.599
Pluton 39.482 247.92
Haumea 43.335 285.4
Makemake 45.792 309.9
Eris 67.668 557
#Quasty-dwarf
Orcus 39.419 247.492
Ixion 39.68 249.95
2002MS4 41.93 271.53
Salacia 42.19 274.03
Varuna 43.13 283.20
2005UQ513 43.31 285.12
Quaoar 43.60 287.97
2007OR10 67.33 552.52
2007UK126 73.74 633.28
#Sedna 525.86 12059.06
